table_name,c001_count,public_count,schema,query,Required(Yes/No)
activity,124,3,c001,select * from c001.activity,Y
activitycode,138,354,public,select * from public.activitycode,Y
activitycodehotkey,0,0,public,select * from public.activitycodehotkey,
activitycodeinventoryitemtype,0,15,public,select * from public.activitycodeinventoryitemtype,
activitycodeplqmapping,0,0,public,select * from public.activitycodeplqmapping,
activitycodeupstreamdependencies,0,0,public,select * from public.activitycodeupstreamdependencies,
activityrate,120,552,public,select * from public.activityrate,Y
activityratemarkup,0,0,public,select * from public.activityratemarkup,
activitytype,12,7,c001,select * from c001.activitytype,Y
addressformat,3,3,public,select * from public.addressformat,N
allowanceexpression,4,4,public,select * from public.allowanceexpression,N
alternateprintmethod,13,100761,public,select * from public.alternateprintmethod,N
alternateprintmethodcontent,0,0,public,select * from public.alternateprintmethodcontent,
approvalgroup,0,0,public,select * from public.approvalgroup,
apsetup,1,1,public,select * from public.apsetup,N
arsetup,1,1,public,select * from public.arsetup,N
assetclass,9,9,public,select * from public.assetclass,N
assetdepbatch,0,0,public,select * from public.assetdepbatch,
assetdepline,0,0,public,select * from public.assetdepline,
assetpostinggroup,0,0,public,select * from public.assetpostinggroup,
assettransaction,0,0,public,select * from public.assettransaction,
assettransactionbatch,0,0,public,select * from public.assettransactionbatch,
attachmentcategory,4,4,public,select * from public.attachmentcategory,N
attachmentrule,25,25,public,select * from public.attachmentrule,N
attachmentsetup,1,1,public,select * from public.attachmentsetup,N
autobill,0,0,public,select * from public.autobill,
autobillline,0,0,public,select * from public.autobillline,
autoinvoice,0,0,public,select * from public.autoinvoice,
autoinvoiceline,0,0,public,select * from public.autoinvoiceline,
bankaccount,2,3,public,select * from public.bankaccount,N
bankaccountline,6,11688,public,select * from public.bankaccountline,Y
bankstatement,0,2,public,select * from public.bankstatement,
bill,3,14886,public,select * from public.bill,Y
billbatch,3,1997,public,select * from public.billbatch,Y
billcheck,0,0,public,select * from public.billcheck,
billline,3,35266,public,select * from public.billline,Y
billoflading,0,0,public,select * from public.billoflading,
billpayment,2,14983,public,select * from public.billpayment,Y
billpaymentbatch,1,1331,public,select * from public.billpaymentbatch,Y
billstatus,10,10,public,select * from public.billstatus,Y
binder,1,8,public,select * from public.binder,Y
binderspeed,12,79,public,select * from public.binderspeed,Y
bindingmethod,6,64,public,select * from public.bindingmethod,Y
bindingmethodfinishingop,12,213,public,select * from public.bindingmethodfinishingop,Y
campaign,1,0,c001,select * from c001.campaign,
campaignnote,1,0,c001,select * from c001.campaignnote,
campaigntype,6,6,public,select * from public.campaigntype,N
carton,26,59680,public,select * from public.carton,Y
cartoncontent,73,59676,public,select * from public.cartoncontent,Y
certificationauthority,1,1,public,select * from public.certificationauthority,N
certificationlevel,6,6,public,select * from public.certificationlevel,N
certificationproductclassification,23,23,public,select * from public.certificationproductclassification,N
certificationtraining,0,0,public,select * from public.certificationtraining,
changeorder,0,0,public,select * from public.changeorder,
changeorderline,0,0,public,select * from public.changeorderline,
changeordertype,2,2,public,select * from public.changeordertype,N
chargebackaccount,0,0,public,select * from public.chargebackaccount,
combojob,0,0,public,select * from public.combojob,
company,1,1,public,select * from public.company,N
componenttype,3,3,public,select * from public.componenttype,N
contact,25044,17287,c001,select * from c001.contact,N
contactnote,6,0,c001,select * from c001.contactnote,
contentfile,0,0,public,select * from public.contentfile,
contentfilecategory,7,7,public,select * from public.contentfilecategory,N
contentfilecontour,0,0,public,select * from public.contentfilecontour,
costcategory,1,1,public,select * from public.costcategory,N
costcenter,60,116,public,select * from public.costcenter,Y
costcentertype,4,7,public,select * from public.costcentertype,Y
country,242,242,public,select * from public.country,Y
countrygroup,1,1,public,select * from public.countrygroup,N
countrygroupmember,28,28,public,select * from public.countrygroupmember,N
crmsetup,1,1,public,select * from public.crmsetup,N
crmstatus,5,5,public,select * from public.crmstatus,N
